count,ALMA # (Unique ID),Title (English Short),Repository Link,Link to Catalog,Material Type,Author,Year
171,1853702-1001,Monuments of China,https://repository.ou.edu/embed/uuid/af6078da-e7f7-5909-b6c9-a03806bcb10f,http://libraries.ou.edu/eresources/catalog?task=search&term=99295246602042,Book,Athanasius Kircher,1667
172,2017190-1001,Letters from Galileo to Prince Federigo Cesi,https://repository.ou.edu/embed/uuid/37dce29d-f7a4-5021-b7cb-a2e7a4884562,http://libraries.ou.edu/eresources/catalog?task=search&term=99126446702042,Book,Galileo,1629?
173,13569-1001,Human Anatomy,,http://libraries.ou.edu/eresources/catalog?task=search&term=99206916202042,Book,Giambattista della Porta,1637
174,2451055-1001,The World of Jupiter,,http://libraries.ou.edu/eresources/catalog?task=search&term=9977300302042,Book,Simon Mayr,1614
175,1896860-1001,"The Use of Celestial and Terrestrial Globes, and Spheres, according to the different Systems of the World",,http://libraries.ou.edu/eresources/catalog?task=search&term=9948284002042,Book,Nicolas Bion,1710
176,17163-1001,The Three Spheres,https://repository.ou.edu/embed/uuid/6ff2a8b6-1435-5fab-b37b-eced9a5a87a5,http://libraries.ou.edu/eresources/catalog?task=search&term=9965435402042,Book,Gabriele Beati,1662
177,13580-1001,"Natural Magic, 1589",,http://libraries.ou.edu/eresources/catalog?task=search&term=9994620702042,Book,Giambattista della Porta,1589
178,600886-1001,"Natural Magick, 1658",https://repository.ou.edu/embed/uuid/ef8b9bc5-411f-570c-bfe5-9da930a6ab45,http://libraries.ou.edu/eresources/catalog?task=search&term=99134762202042,Book,Giambattista della Porta,1658
179,18029-1001,On Secret Writing,,http://libraries.ou.edu/eresources/catalog?task=search&term=99209482802042,Book,Giambattista della Porta,1563
180,20246-1001,On the Transformations of the Atmosphere,,http://libraries.ou.edu/eresources/catalog?task=search&term=99120202402042,Book,Giambattista della Porta,1610
181,13587-1001,Plant Anatomy,,http://libraries.ou.edu/eresources/catalog?task=search&term=9944333602042,Book,Giambattista della Porta,1588
182,19178-1001,Treatise on Fossil Mineral Wood,https://repository.ou.edu/embed/uuid/1344a1d4-934e-5b70-b3df-2aca81120719,http://libraries.ou.edu/eresources/catalog?task=search&term=99107925202042,Book,Francesco StellutiFederigo Cesi,1637
183,1899465-1001,Celebrated Questions on the Book of Genesis,,http://libraries.ou.edu/eresources/catalog?task=search&term=9973183502042,Book,Marin Marsenne,1623
184,4188618-1001,Commentary on the Book of Job,https://repository.ou.edu/embed/uuid/2e505daa-f3d5-5ef1-92e4-d0fe4162a420,http://libraries.ou.edu/eresources/catalog?task=search&term=9983203402042,Book,Diego de Zuniga,1591
185,600670-1001,"The New Almagest, part 2",https://repository.ou.edu/embed/uuid/565425a3-02cb-5008-8616-1ab5c32fc2f6,http://libraries.ou.edu/eresources/catalog?task=search&term=99160516802042,Book,Giambattista Riccioli,1651
186,599690-1001,Various and Ingenious Machines,https://repository.ou.edu/embed/uuid/9358b917-8858-5345-9c5b-f2781e07b7ce,http://libraries.ou.edu/eresources/catalog?task=search&term=99147535502042,Book,Agostino Ramelli,1588
187,595962-1001,Representing the Heavens,https://repository.ou.edu/embed/uuid/63c023ea-0707-5e3e-999a-ccd79e2ba3b7,http://libraries.ou.edu/eresources/catalog?task=search&term=99350504802042,Book,Vincenzo Coronelli,1693
188,529697-1001,Poetical Works,,http://libraries.ou.edu/eresources/catalog?task=search&term=99157732802042,Book,Percy Bysshe Shelley,1876-1877
189,530315-2001,"Poems, vol. 2",,http://libraries.ou.edu/eresources/catalog?task=search&term=99226736202042,Book,Alfred Lord Tennyson,1843
190,530315-1001,"Poems, vol. 1",,http://libraries.ou.edu/eresources/catalog?task=search&term=99226736202042,Book,Alfred Lord Tennyson,1843
191,10939-1001,"Celestial Atlas,1776",https://repository.ou.edu/embed/uuid/ba3dd872-fe20-5daa-b699-e1c83da4f767,http://libraries.ou.edu/eresources/catalog?task=search&term=9923123302042,Book,John Flamsteed,1776
192,18331-1001,Catalog of Southern Stars,,http://libraries.ou.edu/eresources/catalog?task=search&term=99214986202042,Book,Edmond Halley,1679
193,19567-1001,Atlas of the Stars,https://repository.ou.edu/embed/uuid/8491891a-32fe-51c6-aeed-6ecd2e3a53cb,http://libraries.ou.edu/eresources/catalog?task=search&term=99301087602042,Book,Johann Bode,1782
194,13870-1001,Appearances of the Sky,,http://libraries.ou.edu/eresources/catalog?task=search&term=99124031002042,Book,Aratus,1547
195,567165-1001,The Realm of the Nebulae,,http://libraries.ou.edu/eresources/catalog?task=search&term=99141403702042,Book,Edwin Hubble,1936
196,3511856-2001,The Milky Wayâ€_ drawn at the Earl of Rosse's Observatory at Birr Castle,,http://libraries.ou.edu/eresources/catalog?task=search&term=99215901202042,Art,Otto Boeddicker,1892
197,1898114-1001,Memoir and Correspondence,,http://libraries.ou.edu/eresources/catalog?task=search&term=99196748202042,Book,Caroline Herschel,1876
198,599301-1001,"Mathematical Principles of Natural Philosophy, 1729",,http://libraries.ou.edu/eresources/catalog?task=search&term=99322756202042,Book,Isaac Newton,1729
199,2556930-1001,Catalog of Nebulae and Star Clusters,,http://libraries.ou.edu/eresources/catalog?task=search&term=99332481002042,Book,Charles Messier,1774
200,468455-1001,An Original Theory or New Hypothesis of the Universe,https://repository.ou.edu/embed/uuid/701a4d14-0c7c-5e15-9c9f-80e335b6af18,http://libraries.ou.edu/eresources/catalog?task=search&term=99310563102042,Book,Thomas Wright,1750
201,2451019-1001,A Treatise of the System of the World,,http://libraries.ou.edu/eresources/catalog?task=search&term=99282906402042,Book,Isaac Newton,1728
202,A10102269448,The Star-Splitter,,http://libraries.ou.edu/eresources/catalog?task=search&term=99244051602042,Book,Robert Frost,1923
203,2450323-1001,Works of Hesiod,,http://libraries.ou.edu/eresources/catalog?task=search&term=99250089502042,Book,Hesiod,1559
204,1184966-5001,"Works, Byron",,http://libraries.ou.edu/eresources/catalog?task=search&term=99155488502042,Book,Lord Byron,1815-1824
205,17263-1001,Sphere of the Universe,,http://libraries.ou.edu/eresources/catalog?task=search&term=99368224302042,Book,Giuseppe Biancani,1620
206,4208078-1001,Principles of Astronomy,,http://libraries.ou.edu/eresources/catalog?task=search&term=99103318202042,Book,Valentin Naibod,1580
207,17334-1001,Instruments for the Restoration of Astronomy,,http://libraries.ou.edu/eresources/catalog?task=search&term=99304003402042,Book,Tycho Brahe,1602
208,19132-1001,Ecstatic Journey through the Heavens,,http://libraries.ou.edu/eresources/catalog?task=search&term=9997350702042,Book,Athanasius Kircher,1660
209,17313-1001,Complete Works,,http://libraries.ou.edu/eresources/catalog?task=search&term=99109951002042,Book,Tycho Brahe,1648
210,8937-1001,Commentary on the Sphere of Sacrobosco,,http://libraries.ou.edu/eresources/catalog?task=search&term=99305042702042,Book,Christoph Clavius,1570
211,17333-1001,Astronomical Letters,,http://libraries.ou.edu/eresources/catalog?task=search&term=99238631002042,Book,Tycho Brahe,1596
212,4188571-1001,Astronomical Foundation,https://repository.ou.edu/embed/uuid/613b8f5b-a11f-5163-b3e6-79d6f4a766fa,http://libraries.ou.edu/eresources/catalog?task=search&term=99304841002042,Book,Nicolaus Reimarus Ursus,1588
213,13583-1001,The Rose of Orsini,https://repository.ou.edu/embed/uuid/82a6a46d-b893-56d4-823a-f94d94940c59,http://libraries.ou.edu/eresources/catalog?task=search&term=99226246302042,Book,Christoph Scheiner,1630
214,10931-1001,Considerations on Tasso,https://repository.ou.edu/embed/uuid/69c9c14c-640f-5a74-ab36-e7fda8226268,http://libraries.ou.edu/eresources/catalog?task=search&term=9947944202042,Book,Galileo,1793
215,597180-1001,Essay on the Mineral Geography of the Paris Basin,,http://libraries.ou.edu/eresources/catalog?task=search&term=9946118302042,Book,Georges CuvierAlexandre Brongniart,1810
216,16955-1001,Natural History of Serpents and Dragons,https://repository.ou.edu/embed/uuid/d356c4ba-b9ba-5b64-90ae-0734985d5b89,http://libraries.ou.edu/eresources/catalog?task=search&term=99215707202042,Book,Ulysses Aldrovandi,1640
217,4131412-1001,The Angry Orlando,,http://libraries.ou.edu/eresources/catalog?task=search&term=996861502042,Book,Ludovico Ariosto,1672
218,14140-1001,The Historie of Foure-Footed Beastes,https://repository.ou.edu/embed/uuid/15806a6c-7bdf-5fc2-a914-6ae7c2832594,http://libraries.ou.edu/eresources/catalog?task=search&term=99123271902042,Book,Edward Topsell,1658
219,2664076-1001,The Recoverie of Jerusalem,,http://libraries.ou.edu/eresources/catalog?task=search&term=99151379102042,Book,Torquato Tasso,1624
220,489176-1001,Letters on Sunspots,https://repository.ou.edu/embed/uuid/ea071f45-e097-5494-8d58-edc707cf9dbf,http://libraries.ou.edu/eresources/catalog?task=search&term=99325471302042,Book,Galileo,1613
221,2682470-2001,On Perspective,https://repository.ou.edu/embed/uuid/0d244eed-3494-53a2-ae20-620e4efa4170,http://libraries.ou.edu/eresources/catalog?task=search&term=99243891402042,Book,Guidobaldo del Monte,1600
222,19115-1001,"On the Center of Gravity of Solids, 1661",https://repository.ou.edu/embed/uuid/c475418e-89ae-5720-bd69-3207cbc63e05,http://libraries.ou.edu/eresources/catalog?task=search&term=9935552902042,Book,Luca Valerio,1661
223,17133-1001,Problems and Exercises in Aristotleâ€™s Mechanics,https://repository.ou.edu/embed/uuid/416781ab-759a-5b0b-b7f1-ed688bd6a5f6,http://libraries.ou.edu/eresources/catalog?task=search&term=99286594302042,Book,Bernardino Baldi,1621
224,2450647-1001,Secret Book of Hunger for the Target,,http://libraries.ou.edu/eresources/catalog?task=search&term=99309979202042,Manuscript,Heizo Sadatake Ise,ca. 1846
225,17427-1001,The Burning Mirror,,http://libraries.ou.edu/eresources/catalog?task=search&term=99331399502042,Book,Bonaventura Cavalieri,1632
226,16977-1001,"Works, Archimedes",https://repository.ou.edu/embed/uuid/be1ec17d-8997-5046-b148-408f9398a087,http://libraries.ou.edu/eresources/catalog?task=search&term=99309900202042,Book,Archimedes,1543
227,3770433-1001,Observations in Bologna of the rotation of Mars around its axis,https://repository.ou.edu/embed/uuid/a3afd0a7-1a31-50fb-aebc-e0ca982103e0,http://libraries.ou.edu/eresources/catalog?task=search&term=9924874202042,Book,Giovanni Domenico Cassini,1666
228,9023-1001,Revolutions of the Sea,,http://libraries.ou.edu/eresources/catalog?task=search&term=9980446202042,Book,Joseph Alphonse AdhÃ©mar,1842
229,445377-3001,Studies on Glaciers,,http://libraries.ou.edu/eresources/catalog?task=search&term=9934045602042,Book,Louis Agassiz,1840
230,11141-1001,"The Celestial Worlds Discover'd, or, Conjectures concerning the Inhabitants, Plants and Productions of the Worlds in the Planets",https://repository.ou.edu/embed/uuid/d9435292-1436-5794-b614-436b96ca252b,http://libraries.ou.edu/eresources/catalog?task=search&term=99182778402042,Book,Christiaan Huygens,1698
231,11161-1001,The System of Saturn,https://repository.ou.edu/embed/uuid/eb1fb2ef-4f05-5e1c-9ec3-0abd2756764e,http://libraries.ou.edu/eresources/catalog?task=search&term=99109628002042,Book,Christiaan Huygens,1659
232,17683-1001,On Mechanics,,http://libraries.ou.edu/eresources/catalog?task=search&term=992599902042,Book,Guidobaldo del Monte,1577
233,19143-1001,Mathematical Works,,http://libraries.ou.edu/eresources/catalog?task=search&term=99197953002042,Book,Simon Stevin,1634
234,4060631-1001,Mathematical Discourses,,http://libraries.ou.edu/eresources/catalog?task=search&term=99150024402042,Book,Galileo,1730
235,18809-1001,Sacred Mystery of the Structure of the Cosmos,https://repository.ou.edu/embed/uuid/637329b4-fd2e-52bf-ba07-cc17c8602a4e,http://libraries.ou.edu/eresources/catalog?task=search&term=9991956102042,Book,Johann Kepler,1596
236,2450649-1001,Book of Leggings,,http://libraries.ou.edu/eresources/catalog?task=search&term=9964196102042,Manuscript,Nobutoyo,ca. 1846
237,2450642-1001,Book of the Arrow,,http://libraries.ou.edu/eresources/catalog?task=search&term=99321346302042,Manuscript,Nobutoyo,ca. 1846
238,18731-1001,Commentary on Aristotleâ€™s Posterior Analytics,,http://libraries.ou.edu/eresources/catalog?task=search&term=99360716802042,Book,Philoponus,1504
239,17696-1001,"Elements of Geometry, 1482",https://repository.ou.edu/embed/uuid/06318c35-3272-57dd-890d-5116d0cd92fc,http://libraries.ou.edu/eresources/catalog?task=search&term=99125723502042,Book,Euclid,1482
240,17882-1001,"Euclid's Elements of Geometry, 1589, vol. 1",,http://libraries.ou.edu/eresources/catalog?task=search&term=99269926402042,Book,Christoph Clavius,1589
241,17882-2001,"Euclid's Elements of Geometry, 1589, vol. 2",,http://libraries.ou.edu/eresources/catalog?task=search&term=99269926402042,Book,Christoph Clavius,1589
242,19127-1001,"Euclid's Elements of Geometry, 1594",https://repository.ou.edu/embed/uuid/8689ed2b-674c-5e95-88c0-1ef0672a1270,http://libraries.ou.edu/eresources/catalog?task=search&term=99129473602042,Book,Nasir ad-Din Al-Tusi,1594
243,17879-1001,Euclide,,http://libraries.ou.edu/eresources/catalog?task=search&term=9910868802042,Book,Niccolo Tartaglia,1543
244,18756-1001,"Galileo, Mechanics",,http://libraries.ou.edu/eresources/catalog?task=search&term=99172319202042,Book,Marin Marsenne,1634
245,488011-1001,"On the Revolutions of the Heavenly Spheres, 1543",https://repository.ou.edu/embed/uuid/30a3fa59-6f83-53f3-b976-45ecefa2602c,http://libraries.ou.edu/eresources/catalog?task=search&term=9944409702042,Book,Nicolaus Copernicus,1543
246,18063-1001,"On the Two Worlds, namely the Major and the Minor",https://repository.ou.edu/embed/uuid/e1ed5954-a8b2-5009-a729-377775c0335d,http://libraries.ou.edu/eresources/catalog?task=search&term=99249486302042,Book,Robert Fludd,1617-1621
247,ALMA10005308,Observations of Comets from B.C. 611 to A.D. 1640,https://repository.ou.edu/embed/uuid/6998036f-87de-5873-9a3a-4ba258e79d07,http://libraries.ou.edu/eresources/catalog?task=search&term=99552996902042,Book,John Williams,1871
248,17521-1001,The Philosopher of China,,http://libraries.ou.edu/eresources/catalog?task=search&term=99175340302042,Book,Confucius,1687
249,4244977-1001,The Yellow Emperor's Canon of Moxibustion,,http://libraries.ou.edu/eresources/catalog?task=search&term=99262296102042,Book,Guifang Dou,1659
250,19142-1001,New Science,,http://libraries.ou.edu/eresources/catalog?task=search&term=99258329702042,Book,Niccolo Tartaglia,1558
251,14835-1001,New Theater of Machines,,http://libraries.ou.edu/eresources/catalog?task=search&term=99111185202042,Book,Vittorio Zonca,1621
252,18499-1001,On Fortifications,,http://libraries.ou.edu/eresources/catalog?task=search&term=99333549402042,Book,Buonaiuto Lorini,1597
253,13597-1001,On Pneumatics,,http://libraries.ou.edu/eresources/catalog?task=search&term=9968405502042,Book,Giambattista della Porta,1606
254,596593-1001,On the Art of Fire,,http://libraries.ou.edu/eresources/catalog?task=search&term=99245837902042,Book,Vannoccio Biringuccio,1540
255,9262-1001,On the Nature of Metals,,http://libraries.ou.edu/eresources/catalog?task=search&term=99276370202042,Book,Georg Agricola,1556
256,19001-1001,The Spectacle according to the Eye: Practical Optics,,http://libraries.ou.edu/eresources/catalog?task=search&term=9984232402042,Book,Carlo Antonio Manzini,1660
257,18638-1001,Treatise on the Measuring Stick,,http://libraries.ou.edu/eresources/catalog?task=search&term=99266414502042,Book,Latino Orsini,1583
258,12789-1001,"The Dutch Embassy to the Grand Tartar Chamum Sungteium, Modern Emperor of China",,http://libraries.ou.edu/eresources/catalog?task=search&term=99150173402042,Book,Johann Nieuhof,1668
259,4244950-1001,"Introduction to Astronomy, 1706",https://repository.ou.edu/embed/uuid/fddbe842-385b-5171-92ed-e8398074075d,http://libraries.ou.edu/eresources/catalog?task=search&term=99202633402042,Book,Nobutake Baba,1706
260,3320289-1001,The Marriage of Philology and Mercury,https://repository.ou.edu/embed/uuid/52b12aab-dc8d-5ce7-b547-808d5254fc71,http://libraries.ou.edu/eresources/catalog?task=search&term=99214805602042,Book,Martianus Capella,1499
261,1899203-1001,Universal Music-Making,,http://libraries.ou.edu/eresources/catalog?task=search&term=9935442502042,Book,Athanasius Kircher,1650
262,598493-1001,"Astronomical Calendar, 1476",,http://libraries.ou.edu/eresources/catalog?task=search&term=99249571902042,Book,Regiomontanus,1476
263,4188673-1001,"Astronomical Calendar, 1518",,http://libraries.ou.edu/eresources/catalog?task=search&term=99342084402042,Book,Johann Stoeffler,1518
264,597142-1001,Astronomy Explained upon Sir Isaac Newton's Principles,https://repository.ou.edu/embed/uuid/cf7aeada-066e-5f48-91b9-db5ab1d7ad43,http://libraries.ou.edu/eresources/catalog?task=search&term=99280589602042,Book,James Ferguson,1809
265,2656003-2001,"Description and Use of Both the Globes, the Armillary Sphere, and Orrery",https://repository.ou.edu/embed/uuid/4e781659-ffe6-5aa7-8f04-e4621ac0b4cc,http://libraries.ou.edu/eresources/catalog?task=search&term=99126814102042,Book,Benjamin Martin,ca. 1760
266,2566999-1001,Innovative Sundials,,http://libraries.ou.edu/eresources/catalog?task=search&term=99173228002042,Manuscript,Bernardino Baldi,ca. 1592
267,18406-1001,Introduction to the Astrolabe,,http://libraries.ou.edu/eresources/catalog?task=search&term=99150149502042,Book,Philip van Lansbergen,1635
268,18732-1001,On the Quadrant,https://repository.ou.edu/embed/uuid/1203a596-c9c3-53f0-8963-dd7c0eba0b36,http://libraries.ou.edu/eresources/catalog?task=search&term=99300791402042,Book,Philip van Lansbergen,1635
269,10322-1001,On the Use and Fabrication of the Astrolabe,,http://libraries.ou.edu/eresources/catalog?task=search&term=9986419402042,Book,Egnazio Danti,1578
270,484090-2001,"General History of China, vol. 2",https://repository.ou.edu/embed/uuid/6124c2d3-1863-5967-8d6b-4215f60a7d17,http://libraries.ou.edu/eresources/catalog?task=search&term=99153941402042,Book,J.B. du Halde,1741
271,603587-2001,"The Works of Giorgio Vasari, vol. 2",,http://libraries.ou.edu/eresources/catalog?task=search&term=9949809302042,Book,Giorgio Vasari,1878-85
272,603587-1001,"The Works of Giorgio Vasari, vol. 1",,http://libraries.ou.edu/eresources/catalog?task=search&term=9949809302042,Book,Giorgio Vasari,1878-85
273,523564-1001,Starry Messenger,,http://libraries.ou.edu/eresources/catalog?task=search&term=99136364202042,Book,Galileo,1610
274,10984-1001,The Ancient and Modern Doctrines of the Holy Fathers,https://repository.ou.edu/embed/uuid/bfdce84e-b22a-5f26-b539-46ffd65b44e0,http://libraries.ou.edu/eresources/catalog?task=search&term=99206840002042,Book,Galileo,1636
275,603587-3001,"The Works of Giorgio Vasari, vol. 3",,http://libraries.ou.edu/eresources/catalog?task=search&term=9949809302042,Book,Giorgio Vasari,1878-85
276,603587-4001,"The Works of Giorgio Vasari, vol. 4",,http://libraries.ou.edu/eresources/catalog?task=search&term=9949809302042,Book,Giorgio Vasari,1878-85
277,603587-6001,"The Works of Giorgio Vasari, vol. 6",,http://libraries.ou.edu/eresources/catalog?task=search&term=9949809302042,Book,Giorgio Vasari,1878-85
278,603587-7001,"The Works of Giorgio Vasari, vol. 7",,http://libraries.ou.edu/eresources/catalog?task=search&term=9949809302042,Book,Giorgio Vasari,1878-85
279,603587-8001,"The Works of Giorgio Vasari, vol. 8",,http://libraries.ou.edu/eresources/catalog?task=search&term=9949809302042,Book,Giorgio Vasari,1878-85
280,1899155-1001,School of the Stars,https://repository.ou.edu/embed/uuid/ac7d36e5-1334-5eb4-9d8d-2edfccc7e89a,http://libraries.ou.edu/eresources/catalog?task=search&term=99213462802042,Book,Baldessar Capra,1606
281,10994-1001,"The Operations of the Geometrical and Military Compass, 1606",https://repository.ou.edu/embed/uuid/af092aea-4730-53be-91c3-7cc516d1227c,http://libraries.ou.edu/eresources/catalog?task=search&term=99216987002042,Hand Written Annotations,Galileo Galilei,1606
282,2681710-1001,The Ancient and Modern Doctrine of Holy Fathers,,http://libraries.ou.edu/eresources/catalog?task=search&term=99367418502042,Book,Galileo,1661
283,4213612-1001,Letter to Madame Christina of Lorraine,,http://libraries.ou.edu/eresources/catalog?task=search&term=9954299702042,Book,Galileo,1967
284,597516-1001,Letter on the Pythagorean and Copernican Opinion on the Motion of the Earth and Stability of the Sun,,http://libraries.ou.edu/eresources/catalog?task=search&term=99129017202042,Book,Paolo Foscarini,1635
285,560376-1001,The Curiosities of Perspective,https://repository.ou.edu/embed/uuid/d2733816-1f6a-5a1c-b4e1-992898469c61,http://libraries.ou.edu/eresources/catalog?task=search&term=99168737802042,Book,Jean FranÃ§ois NicÃ©ron,1663
286,18843-1001,The Divine Proportion,https://repository.ou.edu/embed/uuid/6eaf3120-1dca-576c-b0fa-9febdc1370a4,http://libraries.ou.edu/eresources/catalog?task=search&term=9965634802042,Book,Luca Pacioli,1509
287,4213638-1001,The Practice of Perspective,https://repository.ou.edu/embed/uuid/2c978b1b-2d9a-5cd9-b0d5-f17e7ac6045e,http://libraries.ou.edu/eresources/catalog?task=search&term=9990486402042,Book,Lorenzo Sirigatti,1596
288,2450671-1001,Treasury of Optics,https://repository.ou.edu/embed/uuid/8644339d-0840-5380-973a-22d1eba3333e,http://libraries.ou.edu/eresources/catalog?task=search&term=99206731302042,Book,Ibn al-Haytham,1572
289,1985196-1001,Treatise on Painting,https://repository.ou.edu/embed/uuid/b66ad751-5db6-52ae-93a5-cb91fa18b4c0,http://libraries.ou.edu/eresources/catalog?task=search&term=99352004602042,Book,Leonardo da Vinci,1651
290,19184-1001,Worksâ€_ A New Science,https://repository.ou.edu/embed/uuid/d2563230-555d-5f01-9546-02326e5bce95,http://libraries.ou.edu/eresources/catalog?task=search&term=99138470802042,Book,Niccolo Tartaglia,1606
291,20791-1001,A Geometrical Reconstruction of On Conic Sections by Aristaeus,,http://libraries.ou.edu/eresources/catalog?task=search&term=99367449802042,Book,Vincenzo Viviani,1701
292,2681710-2001,An Abstract of the Learned Treatise... the Introduction upon Mars,,http://libraries.ou.edu/eresources/catalog?task=search&term=99367418502042,Book,Johann Kepler,1661
293,488167-1001,Defense of Galileo,https://repository.ou.edu/embed/uuid/11d544ab-9d54-59dd-9896-360fee562a8e,http://libraries.ou.edu/eresources/catalog?task=search&term=99105121602042,Book,Tommaso Campanella,1622
294,597429-1001,Dialogue on the Two Chief Systems of the World,https://repository.ou.edu/embed/uuid/aa542b99-30ef-5fc6-989a-16f4454ab412,http://libraries.ou.edu/eresources/catalog?task=search&term=99300244502042,Book,Galileo,1632
295,2193629-1001,The Interrogation of Plants,https://repository.ou.edu/embed/uuid/8660dca3-4a6f-5302-bf7a-3aed14bcdcef,http://libraries.ou.edu/eresources/catalog?task=search&term=99266891902042,Book,Fabio Colonna,1592
296,11026-1001,"The Operations of the Geometrical and Military Compass, 1635",https://repository.ou.edu/embed/uuid/bb4733f9-5d10-5312-9940-49b146889a92,http://libraries.ou.edu/eresources/catalog?task=search&term=99213470802042,Book,Galileo Galilei,1635
297,17872-1001,"Flowers, or, On the Cultivation of Flower Gardens, 1664",,http://libraries.ou.edu/eresources/catalog?task=search&term=99158646102042,Book,Giovanni Battista Ferrari,1664
298,2442730-1001,The Advantages of Country Living,,http://libraries.ou.edu/eresources/catalog?task=search&term=99130788002042,Book,Pietro deâ€™ Crescenzi,1471
299,521612-1001,"The Herball, 1597",,http://libraries.ou.edu/eresources/catalog?task=search&term=9946567902042,Book,John Gerard,1597
300,603587-5001,"The Works of Giorgio Vasari, vol. 5",,http://libraries.ou.edu/eresources/catalog?task=search&term=9949809302042,Book,Giorgio Vasari,1878-85
301,595216-1001,"The Natural History of Plants, 1542",,http://libraries.ou.edu/eresources/catalog?task=search&term=9968587202042,Book,Leonhart Fuchs,1542
302,18027-1001,"The Natural History of Plants, 1551",,http://libraries.ou.edu/eresources/catalog?task=search&term=9949010202042,Book,Leonhart Fuchs,1551
303,2266765-1001,"Almagest, ed. Regiomontanus",https://repository.ou.edu/embed/uuid/04f2a5e1-11c8-555f-bbac-16156cda1bbe,http://libraries.ou.edu/eresources/catalog?task=search&term=99137813002042,Book,Claudius Ptolemy,1496
304,599507-1001,"Almagest, ed. Reinhold",,http://libraries.ou.edu/eresources/catalog?task=search&term=99184316602042,Book,Claudius Ptolemy,1549
305,3872122-1001,Four Books,,http://libraries.ou.edu/eresources/catalog?task=search&term=99111672602042,Book,Claudius Ptolemy,1610
306,490347-1001,Harmonics,,http://libraries.ou.edu/eresources/catalog?task=search&term=99212455802042,Book,Claudius Ptolemy,1682
307,2655390-2001,On the Divine Faculty of Stars,https://repository.ou.edu/embed/uuid/6c508d2e-3e56-5f30-941f-d4d4817ae8dd,http://libraries.ou.edu/eresources/catalog?task=search&term=9995890202042,Book,Johann Franciscus Offusius,1570
308,597235-1001,Works of Hippocrates,https://repository.ou.edu/embed/uuid/a058f128-d6cf-5876-b6c1-2b18faf9cb57,http://libraries.ou.edu/eresources/catalog?task=search&term=99164250302042,Book,Hippocrates,1588
309,2655661-2001,Theater of Plantes,,http://libraries.ou.edu/eresources/catalog?task=search&term=99218308102042,Book,John Parkinson,1640
310,1949430-1001,The Pearl of Knowledge,,http://libraries.ou.edu/eresources/catalog?task=search&term=99341454202042,Book,Gregor Reisch,1599
311,1827920-1001,Aristotleâ€™s Masterpiece,,http://libraries.ou.edu/eresources/catalog?task=search&term=99281860102042,Book,,1788
312,449477-1001,Army Sanitary Administration and its Reform under the late Lord Herbert,,http://libraries.ou.edu/eresources/catalog?task=search&term=99153771002042,Book,Florence Nightingale,1862
313,1957225-1001,Collected Works,,http://libraries.ou.edu/eresources/catalog?task=search&term=9923482002042,Book,Paracelsus,1603
314,4175249-1001,Critical Commentary on the Official Austrian Pharmacopoeia,,http://libraries.ou.edu/eresources/catalog?task=search&term=99176809702042,Book,Huszty von Raszynya,1785
315,18689-1001,Garden of Health,,http://libraries.ou.edu/eresources/catalog?task=search&term=99187374202042,Book,,1491
316,2409038-1001,Medical Remedies,,http://libraries.ou.edu/eresources/catalog?task=search&term=9928529502042,Book,Hildegard of Bingen,1533
317,597520-1001,The Natural History of Human Teeth,,http://libraries.ou.edu/eresources/catalog?task=search&term=99248708502042,Book,John Hunter,1803
318,2473294-1001,Ophthalmology,,http://libraries.ou.edu/eresources/catalog?task=search&term=99160099302042,Book,Georg Bartisch,1583
319,330293-1001,The Anatomy of Melancholy,,http://libraries.ou.edu/eresources/catalog?task=search&term=99262707002042,Book,Robert Burton,1628
320,598118-1001,The Cow Pox,,http://libraries.ou.edu/eresources/catalog?task=search&term=99253204002042,Book,Edward Jenner,1798
321,17610-1001,"On the Body, 1677",,http://libraries.ou.edu/eresources/catalog?task=search&term=99290902802042,Book,RenÃ© Descartes,1677
322,598128-1001,"On the Body, 1662",https://repository.ou.edu/embed/uuid/b75b3c28-4368-5eed-8f8b-0821fa365068,http://libraries.ou.edu/eresources/catalog?task=search&term=9937936802042,Book,RenÃ© Descartes,1662
323,1948270-1001,On Anatomy,,http://libraries.ou.edu/eresources/catalog?task=search&term=99143412102042,Book,Matteo Realdo Colombo,1559
324,20590-1001,Living Anatomy,,http://libraries.ou.edu/eresources/catalog?task=search&term=99241951202042,Book,Christoph von Hellwig,1720
325,9898-1001,On the Dissection of the Parts of the Human Body,,http://libraries.ou.edu/eresources/catalog?task=search&term=99234862602042,Book,Charles Estienne,1545
326,1041213-1001,"On the Fabric of the Human Body, 1543",,http://libraries.ou.edu/eresources/catalog?task=search&term=99122243802042,Book,Andreas Vesalius,1543
327,17234-1001,"On the Motion of Animals, 1680 - 81",https://repository.ou.edu/embed/uuid/000f8705-6a22-5f89-a1f0-091b3fcd5227,http://libraries.ou.edu/eresources/catalog?task=search&term=993582602042,Book,Giovanni Borelli,1680-81
328,572385-1001,The Anatomical Exercises of Dr. William Harvey,https://repository.ou.edu/embed/uuid/918ecf3c-71e1-563e-b012-229422a7c9d4,http://libraries.ou.edu/eresources/catalog?task=search&term=99272498802042,Book,William Harvey,1653
329,403568-1001,A Description of the Marvelous Rule of Logarithms,,http://libraries.ou.edu/eresources/catalog?task=search&term=99263190402042,Book,John Napier,1614
