Total:,361,Issues,In progress,7,20,Digitz DL,Dgtz HoS,bagged,Isl,148,Digtz DL,Digtz HoS,Available,bagged,,Isl,,,,,148,Digitized DL,Dz HoS,Available,bagged,,,,Isl,,,,,,,,,,,,
Digitized,231,4,In QC,2,1 highlight,19,1,20,18,2 feature,103,14,4,96,,79,,,,,3 digital,74,3,31,50,,,,35,,,,,,,,,,,,
In Island,134,,Prepping,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en route,35,,Bagged,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digitized,Start date of digitiz'n,End date of QC,ready to script,ready to bag,Bagging date,Removed from NAS / fully replicated (date),To Islandora,"Loaded into Islandora, date",MMS ID,Location,File name,Tiffs (#),Tiffs (GB),"In digital
exhibit",Digital exhibit +/-,Pre-exhibit assessment,Repair needed pre-exhibit,Repair start date,Repair end date,Physical display,"Not accessible, date",Author,Year,Title,Place of publication,Oversized non-book work,Language,Keywords,Notes DL,DL server origin 2015,#images,Size (GB),Notes HOSC,Site,Gallery,Date of gallery opening,Date of gallery closing,Priority in exhibit,Batch,Notes KM,HOS gallery link
DL,,,,,done,,hd1,7/10/2015,99150480902042,Bagit1,Galileo_1612,93,24,2 Feature,,6/2/2015,,,,,,"Galilei, Galileo",1612,"Discorso al serenissimo Don Cosimo II, gran dvca di Toscana... [Discourse on Floating Bodies]",Florence,,Italian,,,Special,,25.6,,National Weather Center,,,8/31/2016,1,,,
DL,,,8/19/2015,8/20/2015,8/20/2015,,hdx2,,99325471302042,Bagit2,Galileo_1613,233,56,2 Feature,,6/5/2015,,,,,,"Galilei, Galileo",1613,Istoria e dimostrazioni intorno alle macchie... [On Sunspots],Rome,,Italian,,,Special,,52.2,,National Weather Center,,,8/31/2016,1,,,
DL,,,,,7/8/2015,,hdx3,,99189156302042,Bagit1,Galileo_1623,,,1 Highlight,,6/12/2015,,,,YES,7/17/2015,"Galilei, Galileo",1623,"Il saggiatore nel quale con bilancia... [1st edition, first state]",Rome,,Italian,,"First state, with Stillman Drake plate",WS1,,78,,History of Science Collections,Controversy over the Comets,8/1/2015,8/31/2016,1,,"early state, with Stillman Drake plate",
DL,7/10/2015,7/15/2015,done,done,7/28/2015,,hd6,8/6/2015,99189156302042,Bagit2,Galileo_1623_later,259,19,2 Feature,ADD,6/12/2015,,,,YES,7/17/2015,"Galilei, Galileo",1623,"Il saggiatore nel quale con bilancia... [later state, 1st edition]",Rome,,,,"Second state. Canon. 4098 px H. 6 p. l., 235 p. illus., port., diagrs. 22 cm. ",WS1,,,,History of Science Collections,Controversy over the Comets,8/1/2015,8/31/2016,2',,,
DL,,,,,done,,hd1,7/11/2015,99126446702042,Bagit1,Galileo_1629,21,6,2 Feature,,5/18/2015,,,,YES,7/9/2015,"Galilei, Galileo",1629,Lettere di Galileo Galilei al principe Federigo Cesi,,,Italian,"Federico Cesi, Accademia nazionale dei Lincei","12 pages, in unattached cover. Was lost, now is found - very small work. On: special drive",Special,,,ocm52856318,Sam Noble Museum,"Galileo, Natural History and the Americas",8/1/2015,1/17/2016,2c,,,
DL,,,,,7/7/2015,,hd1,7/11/2015,99300244502042,Bagit1,Galileo_1632,509,120,1 Highlight,,,,,,YES,7/17/2015,"Galilei, Galileo",1632,Dialogo di Galileo Galilei linceo matematico...,Florence,,Italian,,,Special,,128,,History of Science Collections,Galileo Affair,8/1/2015,8/31/2016,1,,,
DL,,,,,done,,hd1,7/11/2015,99213470802042,Bagit1,Galileo_1635,124,34,3 Yes,,5/22/2015,,,,YES,7/17/2015,"Galilei, Galileo",1635,Tractatvs de proportionvm instrvmento [second edition],Strassburg,,Latin,,2nd ed.,Special,,36.5,,History of Science Collections,"Galileo, Engineer",8/1/2015,8/31/2016,1,,2d ed,
DL,,,,,7/7/2015,,hd1,7/11/2015,99206840002042,Bagit1,Galileo_1636,83,22,1 Highlight,,6/26/2015,,,,YES,7/17/2015,"Galilei, Galileo",1636,Nov-antiqua sanctissimorum patrum [Letter to the Grand Duchess Christina],,,,,1st posthumous ed.,Special,,23,,History of Science Collections,Galileo Affair,8/1/2015,8/31/2016,1,,1st posthumous ed.,
DL,,,,,done,,hd1,issues to resolve,99198515402042,Bagit1,Galileo_1638,342,82,2 Feature,,5/19/2015,,,,YES,7/9/2015,"Galilei, Galileo",1638,Discorsi e dimostrazioni matematiche intorno a due nuoue scienze,Leiden,,,,,Special,,,,Sam Noble Museum,"Galileo, Natural History and the Americas",8/1/2015,1/17/2016,2c,,,
In progress,8/26/2015,,,,,,,,-,WS|HoS,"Galileo_1656_v1, Galileo_1656_v2",,,3 Yes,ADD,6/26/2015,,,,YES,,"Galilei, Galileo",1656,"Discorsi à Due Nuove Scienze, in Opera di Galileo Galilei (2 volumes)",Bologna,,,,CANON. 23 cm.,,,,,Headington Hall,,10/15/2015,4/15/2016,,,,
HOS,,-,8/24/2015,,,,,,99367418502042,WS2|Ready for script,Galileo_1661,,,2 Feature,,6/26/2015,,,,YES?,7/17/2015,"Galilei, Galileo",1661,"""The Systeme of the World in Four Dialogues"" in Thomas Salusbury, Mathematical Discourses, 1661 ",London,,,,"English translation of [Nov-antiqua sanctissimorum patrum] & Letter to the Grand Duchess, in Salusbury, Math. Disc. HASSELBLAD. 35 cm. In 2 vol. Multiple title pages.",,,,,History of Science Collections,Galileo Affair,8/1/2015,8/31/2016,1,,,
,,,,,,,,,,,Galileo_1661b,,,N,,6/26/2015,,,,YES?,,"Galilei, Galileo",1661,"“The Ancient and Modern Doctrine of Holy Fathers,” in Mathematical Collections [Salusbury]",London,,,,,,,,,,,,,,,,
DL,7/10/2015,7/29/2015,8/3/2015,8/13/2015,8/14/2015,,hdx3,,99150024402042,Bagit2,Galileo_1730,524,126,1 Highlight,,6/18/2015,,,,YES,7/17/2015,"Galilei, Galileo",1730,Mathematical discourses,London,,,,CANON; Hasselblad in fact. 6880 px H. 510 images. 24 cm. [transl. Thomas Weston?],WS1,,,,History of Science Collections,New Physics,8/1/2015,8/31/2016,2',,,
DL,,5/1/2014,,,done,,,loaded?,9947944202042,UL-Bagit [file archive],Galileo_1793_Con_Ven,297,71,2 Feature,,5/22/2015,,,,YES,7/9/2015,"Galilei, Galileo",1793,Considerazioni al Tasso,Venice,,Italian,"Poetry, Torquato Tasso, Literature, Giuseppe Iseo, Pietro Pasqualoni","Name files as: Galileo-1793-Con-Ven-. Octavo, front board detached. 275 pages. reshoot - March-May 2014",,,,ACL9660,Sam Noble Museum,"Galileo, Natural History and the Americas",8/1/2015,1/17/2016,2c,,,
,,,,,,,,,9954299702042,,,,,3 Yes,ADD,7/1/2015,,,,YES,7/17/2015,"Galilei, Galileo",1967,Lettera Madama Cristina di Lorena,Milan,,,,CANON. ,,,,,History of Science Collections,Galileo Affair,8/1/2015,8/31/2016,2'',,,
DL,,,,,done,,hd1,7/9/2015,99552997302042,Bagit1,Galilei_1581,174,42,2 Feature,,6/9/2015,,,,YES,,"Galilei, Vincenzo",1581,Dialogo della musica antica,Florence,,Italian,"Music, Mathematics, Music theory, Musical pitch",,WS1,,41.7,,History of Science Collections,Music of the Spheres,8/1/2015,8/31/2016,1,,,
DL,2/13/2015,,7/13/2015,7/13/2015,done,,hd6,8/6/2015,99224859802042,Bagit2,Gallucci_1588,555,46,2 Feature,,,,,,,,"Gallucci, Giovanni Paulo",1588,Theatrum mundi,Venice,,,,HASSELBLAD; Canon in fact. 4347 px H. 25x19 cm. About 490 pages.,WS1,500,100,,,,1/21/2016,4/3/2016,1,,,http://www.lindahall.org/events_exhib/exhibit/exhibits/stars/gal.htm
DL,,,7/30/2015,8/6/2015,done,,hd8,8/13/2015,99563102302042,Bagit2,Gaubil_1758,34,8,3 Yes,,5/5/2015,,,,NO,7/17/2015,Gaubil,1758,"""A Description of the Plan of Peking, the Capital of China,"" Philosophical Transactions of the Royal Society of London, Vol. 50, Part 2",London,,,,CANON. p.704ff,WS1,,,,History of Science Collections,Galileo and China,8/1/2015,8/31/2016,1,B1,"704ff. Hannah Johnson, Melissa L. Rickman: Hannah, please obtain this volume from Melissa and digitize the entire article and title page of the volume, if we don't have them already. We may already have them in Aperture, so check there first.",
,,,,,,,,,,,,,,N,SUBTRACT,,,,,-,,"Gemma, Cornelius",1575,De naturae divinis characterismis,Antwerp,,,,,,,,[?],National Weather Center,,8/1/2015,8/31/2016,2',,,
HOS,,-,8/19/2015,8/20/2015,8/21/2015,,hdx2,,9946567902042,Bagit2,Gerard_1597,,,2 Feature,,5/20/2015,,,,YES,7/9/2015,"Gerard, John",1597,The herball,London,,,,,,,39.1,,Sam Noble Museum,"Galileo, Natural History and the Americas",8/1/2015,1/17/2016,1,,,
HOS,,,,,,,,,99107312802042,DigiLab Mac Pro|Aperture lib,,,,N,SUBTRACT,5/27/2015,,,,-,,"Gesner, Conrad",1565,De rerum fossilium,[Tiguri],,,,,,,,,,,8/1/2015,1/17/2016,2c,,,
DL,6/11/2015,7/9/2015,7/27/2015,8/7/2015,done,,hd7,8/18/2015,99332672902042,Bagit2,Gilbert_1600,276,66,2 Feature,,6/19/2015,,,,YES,7/17/2015,"Gilbert, William",1600,De magnete,London,,,,"HASSELBLAD. 8 p.l., 240 p. illus., diagrs. (1 fold.) 30 cm.",WS1,,,,History of Science Collections,New Physics,8/1/2015,8/31/2016,2',B2,,
DL,,,,,done,,rsync0?,6/25/2015,99331834002042,UL-Bagit [file archive],Gilbert_1651,347,83,?,,5/15/2015,,,,YES,,"Gilbert, William; Isaac Gruterus",1651,De mundo nostro sublunari philosophia nova,Amsterdam,,,,CANON. ,,,,"Gilbert (1544-1603) wrote early and influential works on magnetism.  We own De mundo nostro sublunari philosophia nova, 1651.–J",Fred Jones Jr. Museum of Art,,1/21/2016,4/3/2016,3,Final1,,
,,,,,,,,,99213813502042,,Grassi_1619_Det,,,3 Yes,,6/11/2015,,,,YES,7/17/2015,"Grassi, Orazio",1619,De tribus cometis anni MDCXVIII,Rome,,Latin,"Mathematics, Astronomy, Natural Philosophy, Jesuits, Comets","HASSELBLAD? With a striking frontipiece, foldout. Acquired spring 2013. Name files as: Grassi-1619-Det-",,,,,History of Science Collections,Controversy over the Comets,8/1/2015,8/31/2016,2',B3,,
DL,,,,,done,,hd1,7/12/2015,99120338702042,Bagit1,Grassi_1623,206,54,1 Highlight,,6/11/2015,,,,YES,7/17/2015,"Grassi, Orazio",1623,Tractatus de sphaera [manuscript],Rome,,Latin,"Mathematics, Astronomy, Natural Philosophy, Jesuits, Comets",,Special,,57.8,,History of Science Collections,Controversy over the Comets,8/1/2015,8/31/2016,1,,Manuscript,
,,,,,,,,,9993268002042,,,,,3 Yes,,6/11/2015,,,,YES,7/17/2015,"Grassi, Orazio",1627,Ratio ponderum libræ et simbellæ,Naples,,Latin,"Mathematics, Astronomy, Natural Philosophy, Jesuits, Comets",HASSELBLAD. 22 cm. About 160 pages.,,165,33,,History of Science Collections,Controversy over the Comets,8/1/2015,8/31/2016,1,,Acquired spring 2013.,
DL,,,,,done,,rsync0?,6/26/2015,99213813502042,UL-Bagit [file archive],Grassi_1619,80,15,3 Yes,,6/18/2015,,,,YES,7/17/2015,"Grassi, Orazio [Galileo Galilei, Mario Guiducci]",1619,"Libra astronomica ac philosophica, qua Galilaei Galilaei opiniones de cometis a Mario Guiducio...",Perugia,,Latin,,,Special,,15.4,,History of Science Collections,Controversy over the Comets,8/1/2015,8/31/2016,1,,,
In progress,8/13/2015,,,,,,,,99157185802042,WS|HoS,Griendel_1687,,,3 Yes,,6/26/2015,,,,YES,,"Griendel, Johann Francisco",1687,Micrographia nova,Nuremberg,,,,CANON. 140 images. 21 cm.,,,,,Sam Noble Museum,Galileo and Microscopy,2/6/2016,6/1/2016,2',,,
DL,,done,8/5/2015,8/11/2015,8/17/2015,,hdx2,,99359354602042,Bagit2,Steno_1662,144,35,3 Yes,,5/8/2015,,,,YES,,"Steno, Nicolaus",1662,"Observationes anatomicae [bound with Joannis van Horne, Mikrokosmos second edition]",Leiden,,,,"CANON. [12], 108 p., 3 plates (fold.) 14 cm. Bound with: Johannes van Horne, Mikrokosmos (Lugduni Batavorum, 1662)",WS1,,,,"Bird Library, OUHSC",,8/1/2015,4/15/2016,2',B1,,
DL,8/13/2015,8/24/2015,,,,,,,99337523902042,WS|HoS|Ready to export,Guericke_1672,,,3 Yes,,5/11/2015,,,,,,"Guericke, Otto von",1672,Experimenta nova,Amsterdam,,,,"HASSELBLAD. 9 p., 1 l., 244, [10] p. illus., port. 33 cm. ",,275,55,Air pump plate,National Weather Center,,8/1/2015,8/31/2016,2',B2,,
DL,7/14/2015,7/21/2015,done,,7/28/2015,,hd6,8/6/2015,99219247102042,Bagit2,Guiducci_1619,69,4,2 Feature,,6/10/2015,,,,YES,7/17/2015,"Guiducci, Mario; Galileo Galilei",1619,Discorso delle comete [di mario Gvidvcci...],Florence,,Italian,"Mathematics, Astronomy, Natural Philosophy, Jesuits, Comets",HASSELBLAD; Canon in fact. 3802 px H. 60 pages. 21 cm.,WS1,65,13,,History of Science Collections,Controversy over the Comets,8/1/2015,8/31/2016,1,,,
,,,,,,,,,99214986202042,,,,,3 Yes,ADD,6/30/2015,,,,,,"Halley, Edmond",1679,Catalogus stellarum australium,London,,,,"[40], 13 p. 26 cm.",,,,,,,,,2a,,,
DL,6/11/2015,7/15/2015,,,,,,,99224852402042,WS|HoS|Ready to export,Halley_1705,40,10,N,SUBTRACT,6/30/2015,,,,-,,"Halley, Edmond",1705,"""Astronomiae Cometicae Synopsis,"" Philosophical Transactions, Royal Society of London (London, 1705), Vol. 24, No. 196, pp. 1882-1899.",London,,,,,WS1,,,,National Weather Center,,,8/31/2016,2',B2,,
DL,,done,8/5/2015,8/11/2015,8/17/2015,,hdx0,,99272498802042,Bagit2,"Harvey_1653_Ana, Harvey_1653_Ana2",399,96,3 Yes,,,,,,YES,,"Harvey, William",1653,The anatomical exercises of Dr. William Harvey,,,,,,WS1,,1,HOS,"Bird Library, OUHSC",,8/1/2015,4/15/2016,1,,,
,,,,,,,,,99241951202042,,Hellwig_1720,,,2 Feature,,5/12/2015,,,,YES,7/23/2015,"Hellwig, Christoph von",1720,Anatomicum vivum,Frankfurt,,,,HASSELBLAD. 60 images. 33 cm. Folio,,,,,"Bird Library, OUHSC",,8/1/2015,4/15/2016,2',B2,,
DL,,,,,done,,rsync2,7/28/2015,99144902602042,UL-Bagit [file archive],Hernandez_1651,1112,267,2 Feature,,6/1/2015,,,,YES,7/9/2015,"Hernandez, Francesco",1651,"Nova plantarvm, animalivm et mineralivm Mexicanorvm historia",Rome,,Latin,,,,,258,ocm51514554,Sam Noble Museum,"Galileo, Natural History and the Americas",8/1/2015,1/17/2016,1,,,
,,,,,,,,,99100474802042,,,,,3 Yes,ADD,6/2/2015,,,,-,,Hero of Alexandria,1575,Spiritalium liber [translated by Federico Commandino],Urbini,,,,,,,,,,,,,2',,,
DL,7/14/2015,7/21/2015,7/30/2015,8/8/2015,done,,hd8,8/13/2015,99196748202042,Bagit2,Herschel_1876,420,101,2 Feature,ADD,6/30/2015,,,,,,"Herschel, Mrs John",1876,Memoir and Correspondence of Caroline Herschel,London,,,,"CANON. [4], xii, 355, [1], 32, [2] p., [3] leaves of plates : |b ill., ports. ; |c 21 cm.",WS1,,,,,,,,,,,
On hold,8/6/2015,,,,,,,,99250089502042,WS|HoS|Paused,Hesiod_1559,,,2 Feature,ADD,6/30/2015,,,,,,Hesiod,1559,Hēsiodou tou Askraiou Erga kai hēmerai: Hesiodi Opera et dies [Opera],Frankfurt,,,,CANON. 190 images. 17 cm. Tightly bound.,WS1,,,,,,,,,,,
DL,,,,,done,,hd1,7/13/2015,99225532702042,Bagit1,Hevelius_1647,797,181,2 Feature,,5/14/2015,,,,YES,,"Hevelius, Johannes",1647,Selenographia,Gdansk,,Latin,"Astronomy, Moon, Telescope, Optics, Instruments",,Special,,194,AEY4282,Fred Jones Jr. Museum of Art,,1/21/2016,4/3/2016,1,,,
DL,,,7/30/2015,8/9/2015,done,,hd7,8/19/2015,99248611802042,Bagit2,Hevelius_1668,1089,280,1 Highlight,,6/10/2015,,,,YES,7/17/2015,"Hevelius, Johannes",1668,Cometographia,Gdansk,,Latin,"Astronomy, Cosmology, Natural Philosophy, Optics, Mathematics, Instruments, Comets",,WS1,,280,ocn219865295,History of Science Collections,Controversy over the Comets,8/1/2015,8/31/2016,1,,,
,,,,,,,,,9925313202042,,,,,3 Yes,ADD,6/10/2015,,,,NO,7/17/2015,"Hevelius, Johannes",1685,Annus climactericus,Gdansk,,,,"HASSELBLAD. [12], 24, 196 p. 7 plates. 41 cm. ",,,,,History of Science Collections,Controversy over the Comets,8/1/2015,8/31/2016,2',,,
DL,6/10/2015,7/10/2015,,,,,,,99577699702042,WS|HoS|Ready to export,Hevelius_1690,901,216,N,SUBTRACT,5/12/2015,,,,YES,,"Hevelius, Johannes",1690,"Firmamentum Sobiescianum, sive Uranographia [In Prodromus astronomiae]",Gdansk,,,,"HASSELBLAD. Cataloged from PDF 7/17. In 1690 Prodromus astronomiae, with 1687 Catalogus stellarum fixarum.",WS1,,48,,Fred Jones Jr. Museum of Art,,1/21/2016,4/3/2016,1,B1,,
DL,,,7/13/2015,7/13/2015,done,,hd6,8/6/2015,9928529502042,Bagit2,Hildegard_1533,349,31,2 Feature,,5/8/2015,,,,YES,,"Hildegard, Saint",1533,Physica,Strasbourg,,,,"CANON. 4691 px H. About 320? pages. Woodcuts. [2], [8], 247, [1], LXXIX, [7] p.: ill.; 29 cm.",WS1,,,,"Bird Library, OUHSC",,8/1/2015,4/15/2016,2',B1,,
DL,,,8/5/2015,8/11/2015,8/16/2015,,hdx1,,99164250302042,Bagit2,Hippocrates_1588,1249,283,2 Feature,,4/28/2015,,,,YES,,Hippocrates; Girolamo Mercurialis,1588,Hippocratis coi Opera,Venice,,,,800-900 pages? 35 cm,TempWS,,84,,"Bird Library, OUHSC",,8/1/2015,4/15/2016,1,,,
DL,,done,,,,,,,99245592002042,WS|HoS|Ready to export,Hire_1704,121,29,N,SUBTRACT,,,,,-,,"Hire, Phillippe de la",1704,Description et explication des globes qui sont placés dans les pavillons du Château de Marly,Paris,,,,"CANON. [12], 96, [2] p. ; 20 cm. ",WS1,,,Description of Coronelli's 12-foot globes.,,,,,2a,,,
DL,7/7/2015,7/10/2015,8/6/2015,8/11/2015,8/16/2015,,hdx1,,99338926502042,Bagit2,Hoet_1728,546,131,3 Yes,,6/24/2015,,,,YES,7/17/2015,"Hoet, Gerard",1728,Figures de la Bible,The Hague,,,,,WS1,,,,History of Science Collections,Galileo Affair,8/1/2015,8/31/2016,2',B3,,
HOS,,-,8/24/2015,,,,,,99312579502042,WS2|Ready for script,Hooke_1665,,,2 Feature,,6/26/2015,,,,YES,,"Hooke, Robert",1665,Micrographia,,,,,,,,4.88,,Sam Noble Museum,Galileo and Microscopy,2/6/2016,6/1/2016,1,,,
,,,,,,,,,99141403702042,,,,,3 Yes,ADD,6/30/2015,,,,,,"Hubble, Edwin",1936,The Realm of the Nebulae,New Haven,,,,,,,,,National Weather Center,,8/1/2015,8/31/2016,2',,,
DL,7/24/2015,7/28/2015,8/5/2015,8/11/2015,8/16/2015,,hdx1,,99248708502042,Bagit2,Hunter_1803,342,82,2 Feature,,5/28/2015,,,,YES,,"Hunter, John",1803,The Natural History of Human Teeth,London,,,,HASSELBLAD. 280 images. 27 cm. 2 pts. in 1 v.,WS1,,,,"Bird Library, OUHSC",,8/1/2015,4/15/2016,2',,,
DL,7/22/2015,7/28/2015,8/5/2015,8/11/2015,8/14/2015,,hd9,8/22/2015,99176809702042,Bagit2,Huszty_ Raszynya_1785,362,87,2 Feature,,,,,,YES,,"Huszty Edler von Raszynya, Zacharias Gottlieb",1785,Kritischer Kommentar über die östreichische Provinzialpharmakopee [Pharmacopœa Austriaco-Provincialis],Pressburg,,,,CANON. 325 images. 20 cm.,WS1,,,,"Bird Library, OUHSC",,8/1/2015,4/15/2016,2',,,
DL,,,,,done,,rsync0?,6/27/2015,99109628002042,UL-Bagit [file archive],Huygens_1659,107,26,3 Yes,,6/5/2015,,,,,,"Huygens, Christian",1659,Systema Saturnum,The Hague,,,,,,,21.6,HOS,National Weather Center,,,8/31/2016,1,,,
DL,,,,,done,,rsync0?,6/28/2015,99182778402042,UL-Bagit [file archive],Huygens_1698_Cel,195,47,3 Yes,,6/30/2015,,,,,,"Huygens, Christian",1698,"The celestial worlds discover'd, or, Conjectures concerning the inhabitants, plants and productions of the worlds in the planets",London,,,,,,,,,National Weather Center,,,8/31/2016,2',,,
DL,,done,,,,,,,99220980902042,WS|HoS|Ready to export,Hyginus_1482,130,31,N,SUBTRACT,,,,,-,,Hyginus,1482,Poeticon Astronomicon,Venice,,,,CANON.,WS1,,,,,,,,2a,,,
DL,,,,7/14/2015,done,,hd6,8/6/2015,99310530002042,Bagit2,Hyginus_1485,121,11,3 Yes,,5/13/2015,,,,YES,,Hyginus,1485,Poeticon astronomicon,Venice,,,,CANON. 4543 px H.,WS1,,,,Fred Jones Jr. Museum of Art,,1/21/2016,4/3/2016,2a,,,
,,,,,,,,,99119881802042,,,,,3 Yes,,5/19/2015,,,,YES,7/9/2015,"Imperato, Ferrante",1599,Dell’ historia naturale,Naples,,,,,,,,,Sam Noble Museum,"Galileo, Natural History and the Americas",8/1/2015,1/17/2016,2c,B2,,
,,,,,,,,,Cataloging needs PDF,,,,,N,,6/18/2015,,,,YES,7/15/2015,"Ise, Heizo Sadatake",1846,Fuku (no) Sho [manuscript],,,,,,,,,,History of Science Collections,New Physics,8/1/2015,8/31/2016,,,,
,,,,,,,,,Cataloging needs PDF,,,,,3 Yes,ADD,6/23/2015,,,,YES,7/15/2015,"Ise, Heizo Sadatake",c. 1846,Kasakake zenki [manuscript],,,,,,,,,,History of Science Collections,New Physics,8/1/2015,8/31/2016,,,,
DL,7/21/2015,7/23/2015,7/30/2015,8/10/2015,done,,hd8,8/13/2015,99253204002042,Bagit2,Jenner_1798,67,16,2 Feature,,5/27/2015,,,,YES,,"Jenner, Edward",1798,An Inquiry into the Causes and Effects of the Variolae Vaccinae [The Cow Pox],London,,,,HASSELBLAD. 80 images? 28 cm,,,,,"Bird Library, OUHSC",,8/1/2015,4/15/2016,2',,,
DL,11/12/2014,,7/13/2015,7/13/2015,done,,hd4,7/29/2015,9991956102042,Bagit2,Kepler_1596,218,17,2 Feature,,6/15/2015,,,,YES,,"Kepler, Johannes",1596,Mysterium cosmographium [Prodromus],Tubingen,,Latin,,Canon. 3945 px H.,,,17.7,,History of Science Collections,Music of the Spheres,8/1/2015,8/31/2016,2'd,,,
DL,,,,,done,,issues,6/28/2015,99321225902042,UL-Bagit [file archive],Kepler_1606,264,63,2 Feature,,5/14/2015,,,,YES,,"Kepler, Johannes",1606,De stella nova in pede serpentarii,Prague,,Latin,"Astronomy, Mathematics, Constellations, Cosmology, Calendar","3/5  Approx 300 pages, odd pagination",,,82,HOS,Fred Jones Jr. Museum of Art,,1/21/2016,4/3/2016,2a,,,
DL,,,,,done,,rsync0?,6/29/2015,99350461502042,UL-Bagit [file archive],Kepler_1609,396,95,2 Feature,,6/5/2015,,,,,,"Kepler, Johannes",1609,Astronomia nova,Heidelberg,,Latin,"Astronomy, Mathematics, Cosmology",3/5 About 340 pages. This book contains Kepler's first two laws of celestial motion.  There's an interesting foldout table of contents. One of the best known classics of the sci rev.,,,112,ABX5899,National Weather Center,,,8/31/2016,1,,,
DL,,,,,done,,rsync0?,6/29/2015,9961722602042,UL-Bagit [file archive],Kepler_1611_dio,136,33,3 Yes,,6/26/2015,,,,,,"Kepler, Johannes",1611,Dioptrice,Augsburg,,Latin,"Mathematics, Optics, Telescope, Instruments","1/5  80 pages, somewhat tightly bound. Kepler's work on optics. Name files as Kepler-1611-Dio-",,,,,,,,,,Final1,,
DL,,,,,done,,rsync0?,6/29/2015,9944176802042,UL-Bagit [file archive],Kepler_1611,72,17,3 Yes,,6/5/2015,,,,,,"Kepler, Johannes",1611,Dissertatio cum Nuncio sidereo,Frankfurt,,Latin,"Galileo Galilei, Astronomy, Dissertatio cum Nvncio sidereo nuper ad mortales misso a Galilæo Galilæo, Ioannis Kepleri ... Dissertatio cum Nuncio sidereo nuper ad mortales misso a Galilæo Galilæo, Nuncio sidereo nuper ad mortales misso a Galilæo Galilæo",Oct2014,,,3.37,ocm25585899,National Weather Center,,,8/31/2016,1,,,
DL,,,,,done,,Islandora issues?,6/29/2015,9996450602042,UL-Bagit [file archive],Kepler_1611_Strena,37,9,2 Feature,,6/5/2015,,,,,,"Kepler, Johannes",1611,Strena,Frankfurt on Main,,Latin,,,,,,HOS,National Weather Center,,,8/31/2016,2',,,
DL,,,,,done,,rsync3,8/8/2015,99298630402042,UL-Bagit [file archive],Kepler_1619,,,3 Yes,ADD,-,,,,NO,,"Kepler, Johannes",1619,De cometis libelli tres [De cometis qui annis 1607 & 1618],Augsburg,,Latin,"Astronomy, Cosmology, Comets, Geometry, Mathematics",2/5 140 pages. Short book on comets by Kepler.,,,,ACH2254,,,,,2',,,
DL,,,,,done,,rsync0?,6/29/2015,99284044202042,UL-Bagit [file archive],Kepler_1619_Har,347,83,1 Highlight,,5/22/2015,,,,YES,,"Kepler, Johannes",1619,Harmonices mvndi,Linz,,Latin,"Astronomy, Music, Robert Fludd, Ptolemy",Opens very easily. 255 pages. Name files as Kepler-1619-Har-. Kepler's third law,,,73.3,ACM2799,History of Science Collections,Music of the Spheres,8/1/2015,8/31/2016,1,,,
DL,,,,,done,,rsync0?,6/29/2015,9945603602042,UL-Bagit [file archive],Kepler_1625,233,56,3 Yes,,6/11/2015,,,,NO,7/15/2015,"Kepler, Johannes",1625,Tychonis Brahei dani Hyperaspistes,Frankfurt,,Latin,"Astronomy, Comets, Tycho Brahe","Page edges seem brittle, 202 pages plus index.",,,66.7,ocm17685195,History of Science Collections,Controversy over the Comets,8/1/2015,8/31/2016,1,,,
,,,,,,,,,99367418502042,,,,,3 Yes,ADD,,,,,YES,7/15/2015,"Kepler, Johannes",1661,"""An Abstract of the Learned Treatise... the Introduction upon Mars,"" in Mathematical Discourses 1661, edited by Thomas Salusbury [Copy 2]",London,,,,"2 v. : ill., port. ; 35 cm. ",,,,,History of Science Collections,Galileo Affair,8/1/2015,8/31/2016,3,,,
DL,,,,,done,,rsync0?,6/30/2015,9939049602042,UL-Bagit [file archive],Kepler_1629,275,66,3 Yes,,6/5/2015,,,,,,"Kepler, Johannes",1629 [1627],Tabulae Rudolphinae,Gorlitz,,Latin,"Astronomy, Tycho Brahe","Fragile page edges. About 280 pages. Quarto. A remarkable first state of this rare work. Has a bound-with dated 1629, so catalogers use that date, but T.R. title page has 1627, so scholars cite that.",,,,ocm16505063,National Weather Center,,,8/31/2016,2',,,http://hos.ou.edu/galleries/16thCentury/Kepler/1627/
DL,,,,,done,,rsync0?,6/30/2015,99265075302042,UL-Bagit [file archive],Kepler_1630,25,6,3 Yes,,,,,,,,"Kepler, Johannes [Jacob Bartsch?]",1630,Admonitio ad astronomos,Frankfurt,,Latin,Jacob Bartsch,Just 14 pages,,,,,,,,,,Final1,,
,,,,,,,,,99217882502042,,,,,N,SUBTRACT,5/18/2015,,,,YES,,"Kircher, Athanasius",1646,Ars magna lucis et umbrae,Rome [Amsterdam?],,,,HASSELBLAD. 960 images. 30+ cm. Earliest edition,,960,192,,Fred Jones Jr. Museum of Art,,1/21/2016,4/3/2016,1,B2,,
